"age","c_charge_degree","c_charge_desc","race","score_text","sex","priors_count","juv_fel_count","juv_misd_count","juv_other_count","decile_score","two_year_recid","length_of_stay","priors_1","priors_234","priors_5plus","juv_fel_1plus","juv_misd_1plus","juv_other_1plus","charge_any_drug","charge_any_violence_aggression","charge_any_theft","length_of_stay_thresh"
69,"F","Aggravated Assault w/Firearm","Other","Low","Male",0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1
34,"F","Felony Battery w/Prior Convict","African-American","Low","Male",0,0,0,0,3,1,10,0,0,0,0,0,0,0,1,0,10
24,"F","Possession of Cocaine","African-American","Low","Male",4,0,0,1,4,1,1,0,1,0,0,0,1,1,0,0,1
44,"M","Battery","Other","Low","Male",0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1
41,"F","Possession Burglary Tools","Caucasian","Medium","Male",14,0,0,0,6,1,6,0,0,1,0,0,0,0,0,1,6
43,"F","arrest case no charge","Other","Low","Male",3,0,0,0,4,0,1,0,1,0,0,0,0,0,0,0,1
39,"M","Battery","Caucasian","Low","Female",0,0,0,0,1,0,3,0,0,0,0,0,0,0,1,0,3
27,"F","Poss 3,4 MDMA (Ecstasy)","Caucasian","Low","Male",0,0,0,0,4,0,1,0,0,0,0,0,0,1,0,0,1
23,"M","Battery","African-American","Medium","Male",3,0,0,0,6,1,4,0,1,0,0,0,0,0,1,0,4
37,"M","Battery","Caucasian","Low","Female",0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1
41,"F","Poss3,4 Methylenedioxymethcath","African-American","Low","Male",0,0,0,0,4,0,1,0,0,0,0,0,0,1,0,0,1
47,"F","arrest case no charge","Caucasian","Low","Female",1,0,0,0,1,1,14,1,0,0,0,0,0,0,0,0,14
31,"F","Felony Driving While Lic Suspd","African-American","Low","Male",7,0,0,0,3,1,3,0,0,1,0,0,0,0,0,0,3
37,"M","Battery","Hispanic","Low","Male",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
25,"F","Grand Theft in the 3rd Degree","African-American","High","Male",3,0,0,0,10,0,1,0,1,0,0,0,0,0,0,1,1
31,"F","Driving While License Revoked","Caucasian","Medium","Male",6,0,0,0,5,1,1,0,0,1,0,0,0,0,0,0,1
31,"F","Possession Of Heroin","Caucasian","Low","Male",5,0,0,0,3,1,1,0,0,1,0,0,0,1,0,0,1
64,"F","arrest case no charge","African-American","Medium","Male",13,0,0,0,6,1,1,0,0,1,0,0,0,0,0,0,1
21,"F","Battery on Law Enforc Officer","African-American","High","Male",1,0,0,0,9,1,3,1,0,0,0,0,0,0,1,0,3
